time inst   proc1           proc2           proc3           proc4           proc5           proc6           proc7           proc8           proc9           proc10          proc11          proc12          proc13          proc14          proc15          proc16          proc17          proc18          proc19          proc20         
1           NEW                                                                                                                                                                                                                                                                                                                          
2           NEW                                                                                                                                                                                                                                                                                                                          
3           RUN                                                                                                                                                                                                                                                                                                                          
4           RUN             NEW                                                                                                                                                                                                                                                                                                          
5           RUN             NEW                                                                                                                                                                                                                                                                                                          
6           BLOCKED         RUN                                                                                                                                                                                                                                                                                                          
7           BLOCKED         RUN             NEW                                                                                                                                                                                                                                                                                          
8           READY           RUN             NEW                                                                                                                                                                                                                                                                                          
9           RUN             BLOCKED         READY                                                                                                                                                                                                                                                                                        
10          RUN             BLOCKED         READY                                                                                                                                                                                                                                                                                        
11          EXIT            READY           RUN                                                                                                                                                                                                                                                                                          
12                          READY           RUN             NEW                                                                                                                                                                                                                                                                          
13                          READY           RUN             NEW                                                                                                                                                                                                                                                                          
14                          RUN             BLOCKED         READY                                                                                                                                                                                                                                                                        
15                          RUN             BLOCKED         READY                                                                                                                                                                                                                                                                        
16                          EXIT            READY           RUN                                                                                                                                                                                                                                                                          
17                                          READY           RUN             NEW                                                                                                                                                                                                                                                          
18                                          READY           RUN             NEW                                                                                                                                                                                                                                                          
19                                          RUN             BLOCKED         READY                                                                                                                                                                                                                                                        
20                                          RUN             BLOCKED         READY                                                                                                                                                                                                                                                        
21                                          EXIT            READY           RUN                                                                                                                                                                                                                                                          
22                                                          READY           RUN             NEW                                                                                                                                                                                                                                          
23                                                          READY           RUN             NEW                                                                                                                                                                                                                                          
24                                                          RUN             BLOCKED         READY                                                                                                                                                                                                                                        
25                                                          RUN             BLOCKED         READY                                                                                                                                                                                                                                        
26                                                          EXIT            READY           RUN                                                                                                                                                                                                                                          
27                                                                          READY           RUN             NEW                                                                                                                                                                                                                          
28                                                                          READY           RUN             NEW                                                                                                                                                                                                                          
29                                                                          RUN             BLOCKED         READY                                                                                                                                                                                                                        
30                                                                          RUN             BLOCKED         READY                                                                                                                                                                                                                        
31                                                                          EXIT            READY           RUN                                                                                                                                                                                                                          
32                                                                                          READY           RUN             NEW                                                                                                                                                                                                          
33                                                                                          READY           RUN             NEW                                                                                                                                                                                                          
34                                                                                          RUN             BLOCKED         READY                                                                                                                                                                                                        
35                                                                                          RUN             BLOCKED         READY                                                                                                                                                                                                        
36                                                                                          EXIT            READY           RUN                                                                                                                                                                                                          
37                                                                                                          READY           RUN             NEW                                                                                                                                                                                          
38                                                                                                          READY           RUN             NEW                                                                                                                                                                                          
39                                                                                                          RUN             BLOCKED         READY                                                                                                                                                                                        
40                                                                                                          RUN             BLOCKED         READY                                                                                                                                                                                        
41                                                                                                          EXIT            READY           RUN                                                                                                                                                                                          
42                                                                                                                          READY           RUN             NEW                                                                                                                                                                          
43                                                                                                                          READY           RUN             NEW                                                                                                                                                                          
44                                                                                                                          RUN             BLOCKED         READY                                                                                                                                                                        
45                                                                                                                          RUN             BLOCKED         READY                                                                                                                                                                        
46                                                                                                                          EXIT            READY           RUN                                                                                                                                                                          
47                                                                                                                                          READY           RUN             NEW                                                                                                                                                          
48                                                                                                                                          READY           RUN             NEW                                                                                                                                                          
49                                                                                                                                          RUN             BLOCKED         READY                                                                                                                                                        
50                                                                                                                                          RUN             BLOCKED         READY                                                                                                                                                        
51                                                                                                                                          EXIT            READY           RUN                                                                                                                                                          
52                                                                                                                                                          READY           RUN             NEW                                                                                                                                          
53                                                                                                                                                          READY           RUN             NEW                                                                                                                                          
54                                                                                                                                                          RUN             BLOCKED         READY                                                                                                                                        
55                                                                                                                                                          RUN             BLOCKED         READY                                                                                                                                        
56                                                                                                                                                          EXIT            READY           RUN                                                                                                                                          
57                                                                                                                                                                          READY           RUN             NEW                                                                                                                          
58                                                                                                                                                                          READY           RUN             NEW                                                                                                                          
59                                                                                                                                                                          RUN             BLOCKED         READY                                                                                                                        
60                                                                                                                                                                          RUN             BLOCKED         READY                                                                                                                        
61                                                                                                                                                                          EXIT            READY           RUN                                                                                                                          
62                                                                                                                                                                                          READY           RUN             NEW                                                                                                          
63                                                                                                                                                                                          READY           RUN             NEW                                                                                                          
64                                                                                                                                                                                          RUN             BLOCKED         READY                                                                                                        
65                                                                                                                                                                                          RUN             BLOCKED         READY                                                                                                        
66                                                                                                                                                                                          EXIT            READY           RUN                                                                                                          
67                                                                                                                                                                                                          READY           RUN             NEW                                                                                          
68                                                                                                                                                                                                          READY           RUN             NEW                                                                                          
69                                                                                                                                                                                                          RUN             BLOCKED         READY                                                                                        
70                                                                                                                                                                                                          RUN             BLOCKED         READY                                                                                        
71                                                                                                                                                                                                          EXIT            READY           RUN                                                                                          
72                                                                                                                                                                                                                          READY           RUN             NEW                                                                          
73                                                                                                                                                                                                                          READY           RUN             NEW                                                                          
74                                                                                                                                                                                                                          RUN             BLOCKED         READY                                                                        
75                                                                                                                                                                                                                          RUN             BLOCKED         READY                                                                        
76                                                                                                                                                                                                                          EXIT            READY           RUN                                                                          
77                                                                                                                                                                                                                                          READY           RUN             NEW                                                          
78                                                                                                                                                                                                                                          READY           RUN             NEW                                                          
79                                                                                                                                                                                                                                          RUN             BLOCKED         READY                                                        
80                                                                                                                                                                                                                                          RUN             BLOCKED         READY                                                        
81                                                                                                                                                                                                                                          EXIT            READY           RUN                                                          
82                                                                                                                                                                                                                                                          READY           RUN             NEW                                          
83                                                                                                                                                                                                                                                          READY           RUN             NEW                                          
84                                                                                                                                                                                                                                                          RUN             BLOCKED         READY                                        
85                                                                                                                                                                                                                                                          RUN             BLOCKED         READY                                        
86                                                                                                                                                                                                                                                          EXIT            READY           RUN                                          
87                                                                                                                                                                                                                                                                          READY           RUN             NEW                          
88                                                                                                                                                                                                                                                                          READY           RUN             NEW                          
89                                                                                                                                                                                                                                                                          RUN             BLOCKED         READY                        
90                                                                                                                                                                                                                                                                          RUN             BLOCKED         READY                        
91                                                                                                                                                                                                                                                                          EXIT            READY           RUN                          
92                                                                                                                                                                                                                                                                                          READY           RUN             NEW          
93                                                                                                                                                                                                                                                                                          READY           RUN             NEW          
94                                                                                                                                                                                                                                                                                          RUN             BLOCKED         READY        
95                                                                                                                                                                                                                                                                                          RUN             BLOCKED         READY        
96                                                                                                                                                                                                                                                                                          EXIT            READY           RUN          
97                                                                                                                                                                                                                                                                                                          READY           RUN          
98                                                                                                                                                                                                                                                                                                          READY           RUN          
99                                                                                                                                                                                                                                                                                                          RUN             BLOCKED      
100                                                                                                                                                                                                                                                                                                         RUN             BLOCKED      
