time inst proc1              proc2              proc3              
0         F0                                                       
1         F0                 F1                                    
2         F0                 F1                 F2                 
3         F0,F3              F1                 F2                 
4         F0,F3              SIGSEGV            F2                 
5         F0,F3                                 F2,F1              
6         F0,F3,F4                              F2,F1              
7         F0,F3,F4                              F2,F1              
8         F0,F3,F4                              F2,F1,F5           
9         F0,F3,F4                              F2,F1,F5           
10        F0,F3,F4                              F2,F1,F5           
11        F0,F3,F4                              F2,F1,F5           
12        F0,F3,F4                              F2,F1,F5           
13        F0,F3,F4                              F2,F1,F5           
14        F0,F3,F4                              F2,F1,F6,F5        
15        F0,F3,F4                              F2,F1,F6,F5        
16        F0,F3,F4                              F2,F1,F6,F5        
17        F0,F3,F4                              F2,F1,F6,F5        
18        F0,F3,F4                              F2,F1,F6,F5        
19        F0,F3,F4                              F2,F1,F6,F5        
20        F0,F3,F4                              F2,F1,F6,F5        
21        F0,F3,F4                              F2,F1,F6,F5        
22        F0,F3,F4                              F2,F1,F6,F5        
23        F0,F3,F4                              F2,F1,F6,F5        
24        F0,F3,F4                              F2,F1,F6,F5        
25        F0,F3,F4                              F2,F1,F6,F5        
26        F0,F3,F4                              F2,F1,F6,F5        
27        F0,F3,F4                              F2,F1,F6,F5        
28        F0,F3,F4                              F2,F1,F6,F5        
29        F0,F3,F4                              F2,F1,F6,F5        
30        F0,F3,F4                              F2,F1,F6,F5        
